,inteiro_teor,ementa
10,"8th class) gmmea / hagb / acnv This document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-127740-66.2008.5.02.000, in which joyce de lime is aggravating and silva and silva associate lawyers and professional cooperative of the professionals are aggravated credit and collection - cccoop.
95, which denied following up on its review appeal.
remittance of the records to the public labor ministry is waived, according to art.
thus renews its denunciation of violation of art.
it should be noted that, under the terms of art.
896, § 6, of the clt, in the case of a subject subject to the extremely brief procedure, the appropriateness of the review appeal will only be admitted due to the contradiction of the tst jurisprudence summary or direct affront to the constitution of the republic.
as a result, the alleged violation of an infraconstitutional precept does not authorize the processing of the appeal.","interlocutory appeal in review appeal - extremely brief procedure. union framework. art. 896, § 6, of clt.

in the cases subject to the summary procedure, only a review appeal will be allowed due to the contrary, the summary of uniform jurisprudence of the superior labor court and direct violation of the constitution of the republic. interlocutory appeal that was dismissed."
11,"the c o rd (6th class) gmmgd / ja / jr these visas of declaration embargoes in an interlocutory appeal were reviewed, reported and discussed in resource of magazine n ° tst-ed-airr-82640-60.2001.5.02.002, in which embargo is eletropaulo - metropolitan electricity of são paulo s.a. 6th class, by means of the judgment now suspended, was not aware of the interlocutory appeal filed by the defendant, given the incomplete transfer of the denial decision to follow up on the appeal.
897 of the clt, without which it is impossible to verify the timing of the interlocutory appeal.
for the foregoing, I dismiss the motion for clarification.
that said, the ministers of the sixth class of the higher labor court agree, unanimously, to dismiss the embargoes of declaration.","declaration embargoes. art. 897-a of clt.

no motion for clarification, pursuant to art. 897-a, of the clt, if the ruled embargo is correct when it concludes that the instrument is not aware of the interlocutory appeal, given the non-fulfillment of the extrinsic assumptions of the appeal.

declaration embargoes not provided."
12,"judgment 6th class acv / mgf / b This document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-86340-52.2007.5.04.000, in which it is an aggravating foundation of federal economists - funcef and aggravated misedi kupske and federal savings bank - cef.
there is no manifestation of the learned public ministry of labor.
vote i - I am aware of the interlocutory appeal, since it is regular and timely.
ii - merit in view of the decision handed down in cef's review appeal that runs alongside it, and that examined all the matters that are the object of this appeal (prescription, solidarity among the defendants and supplementary retirement), having even dismissed the action in the regarding the supplementation of retirement, the analysis of this appeal is impaired.","interlocutory appeal. prescription, solidarity of the defendants and supplementary retirement.

in view of the decision handed down in cef's review appeal, which examined all these matters, having even dismissed the action that claimed differences in supplementing retirement, the analysis of this appeal is impaired."
13,"judgment 5th class ka / pg this document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-117740-43.2004.5.01.001, which is an aggravating super highway concessionaire for rail transportation s.a. without referral to the public labor ministry (art.
irregularity in the formation of the instrument.
emphasis added] it should be noted that normative instruction no.
this being said, the ministers of the fifth class of the higher labor court agree, unanimously, not to know the bill of instrument.","interlocutory appeal. magazine feature. irregularity in the formation of the instrument. insufficient transfer. lack of essential parts. it is not known of an interlocutory appeal when it does not contain a copy of the pieces essential to its formation, according to item iii of normative instruction nº 16/99 of tst. grievance of an instrument that is not known."
14,"the c o rd (3rd class) gmalb / rhs / abn / mn visas, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-130740-02.2007.5.02.000, in which neide de morais zuppo and others are embargoes embargo federal savings - cef.
402, dated 10.24.78, of the resolution of the company's board of directors.
court expressly expressed itself on the issues listed by the party in a review appeal, dismissing the regional thesis and granting the appeal to grant the aid installment payment - food, restoring the sentence, in particular.
in this sense, the plaintiffs' allegation, raised only in the declaratory embargoes, constitutes a reprehensible and unreasonable innovation.
thus, there is no evidence of any defect in the embargoed decision.
opposed to the drift of the situations referred to in arts.
that said, the ministers of the third class of the higher labor court agree, unanimously, to reject the declaratory embargoes.","declaration embargoes. misplacement.

opposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
15,"judgment 1st class vmf / cm / sc / a visa, report and discussion of these embargoes of declaration embargoes in a resource of magazine n ° tst-ed-rr-89100-47.2003.5.04.002, in which is embarangante rosângela maria pereira and embargadas porto alegre clinics s / c ltda., weingaertner Comércio e Administração Ltda.
( in view of the judgment on pages 642-643, the claimant opposes the present declaration embargos.
the hypothesis foreseen in the summary no.
the complainant, by way of omission, maintains that the summary no.
in fact, despite the aforementioned transfer showing the legal nature of an uncontroversial fact, the court of origin, based on the other evidence in the file, did not consider it sufficient to characterize the succession of employers.","embargoes of declaration in review appeal - omission - nonexistence.

if the embargoed judgment does not contemplate any defect among those listed in art. 535, i and ii, of the cpc, the measure brought against him, which undeniably pursues a new trial of the matter, does not warrant approval.

declaration embargoes without."
16,"the c o rd (6th class) gmmgd / me / jr seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-131640-81.2008.5.21.002, in which is aggravating municipality of lagoa de Pedras and aggravated maria josilene de oliveira.
nonconformed, the defendant lodges the present interlocutory appeal (pages 2-5).
counterclaims and / or counter-reasons were presented, the mpt being officiated by the dismissal of the appeal (pages 79-84).
vote i) knowledge that all appeals are met, I know the appeal.
useless edge for configuration of praetorian dissent.
896, a, of the clt in the magazine, the defendant protests against the single legal regime theme - publication of the municipal law.
to do so, it collects a single tst class edges.
in effect, the edge transcribed on pages.
for all of the above, I dismiss the interlocutory appeal.","interlocutory appeal. magazine feature. change of legal regime. publication of the municipal law. useless edge for configuration of praetorian dissent. intelligence of art. 896, a, from clt.

the edge collected for the configuration of the jurisprudential divergence is useless, since it comes from the tst group. intelligence of art. 896, a, from clt.

a record of instrument without."
17,"the c o rd (4th class class) gmmac / r3 / fgfl / gn visa, reported and discussed these documents of interlocutory appeal in magazine resource no.
tst-airr-129040-60.2005.5.04.002, in which marli oliveira belladona is aggravating and federal savings bank - cef and foundation of federal economists - funcef.
r e l a t o r i ndistant with the decision on pages 113-verso / 115, which denied following up on the review appeal, intervenes the plaintiff's interlocutory appeal on pages.
2/20, claiming that the magazine deserved regular processing.
remittance of the case to the public labor ministry is waived.
That said, the ministers of the fourth class of the higher labor court agree, unanimously, not to be aware of the interlocutory appeal.","interlocutory appeal in magazine appeal. training irregularity. absence of authentication of the transferred parts.

the interlocutory appeal does not deserve to be known, when the copies of the parts transferred by the appellant are not authenticated, out of step with the determinations of art. 830 of clt.

interlocutory appeal not known."
18,"judgment 4th class gmfeo / ds seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-84041-27.2006.5.04.000, in which joão carlos araujo fonseca and aggravated vonpar refrescos s.a. the records were not sent to the public labor ministry.
irregularity in the formation of the instrument.
absence of a copy of the regional judgment in ordinary appeal in art.
it appears that the copy of the regional judgment on ordinary appeal is not in the file.
it should be noted that, in the normative instruction nº 16 of this court, of 09/13/1999, in its item x, the parties are responsible for ensuring the correct formation of the instrument, establishing the impediment of converting the appeal into diligence, to make up for the absence of parts, albeit essential.
this being said, the ministers of the fourth class of the higher labor court agree, unanimously, not to know the interlocutory appeal.","interlocutory appeal. magazine feature.

disabled transfer. absence of a copy of the regional judgment. indispensable part for the immediate judgment of the denied appeal.

interlocutory appeal instructed in non-compliance with the provisions of art. 897, § 5, i, of clt. grievance of an instrument that is not known."
19,"the c o rd (3rd class class) gmalb / mjsr / abn / mki visas, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-117400-61.2008.5.04.002, in which go bank Serviços e factoring ltda.
and the union of the commercial development companies - factoring of rio grande do sul is suspended.
the originals of the declaratory embargoes were only presented on October 1, 2010 (page 169), which shows the failure to observe the term referred to in art.
184 of the cpc regarding the dies a quo, which may coincide with Saturday, Sunday or a public holiday .
therefore, when the appeal was submitted via fax on 9/24/2010 (the last day of the deadline), the five-day period for submission of the original started on the following day (9/25/2010), ending on 9/29/2010.
compromised assumption of admissibility, I am not aware of the declaration embargoes.","declaration embargoes. timeliness.

there are no known embargoes for declaration filed via facsimile, when the originals are filed after the deadline referred to in art. 2nd of law nº 9,800 / 99 (summary nº 387 / tst). declaration embargoes not known."
20,"judgment B.C.
8th class gmmcp / alw / rom these visas of interlocutory appeal were reviewed, reported and discussed in appeal against magazine n ° tst-ag-airr-191240-78.2001.5.02.002, in which telecommunications from são paulo s.a. - telesp is aggravated and aggravated by élvio carlos zanoni.
401, which denied complying with the interlocutory appeal of the defendant.
ii - merits the dispatch of pages 401 denied following the interlocutory appeal of the defendant based on articles 896, § 5, of the clt, 557, caput, of the cpc and 5, lxxviii, of the constitution of the republic.
in an interlocutory appeal, the defendant alleges that the order that denied the follow-up to the interlocutory appeal lacks justification, which results in a denial of jurisdictional provision.
the aggravated order is impossible to reform or reconsider.
it should be noted that civil procedural law authorizes the denial of follow-up to an appeal that is manifestly inadmissible, unfounded, impaired or in confrontation with the precedent or precedent of the respective court, the supreme federal court or the superior court (art.
5, lxxviii, of the constitution of the republic.","interlocutory appeal - preliminary nullity for denial of jurisdictional provision the appealed decision was rendered in strict compliance with articles 896, § 5, of the clt, 557, caput, of the cpc and 5, lxxviii, of the constitution, which is why it is impossible to reform or reconsideration.

interlocutory appeal dismissed."
21,"the c o rd (4th class class) gmmac / r3 / cmf / gri these documents of interlocutory appeal were reviewed, reported and discussed in magazine resource no.
counterarguments to the magazine resource, on pages 156/158 and counter-draft to the interlocutory appeal on pages 153/155.
it is unnecessary to send the records to the public labor ministry.
2 - merit considering that the defendant's review appeal was granted (runs together - airr-172341-48.2006.5.01.0461) in order to remove the obstacle of defection, to determine the return of the case to the regional court so that it can appreciate the ordinary appeal of the defendant.
claimed, as is understood by law, the examination of the present review appeal is impaired.
this being said, the ministers of the fourth class of the higher labor court agree unanimously to judge that the interlocutory appeal was harmed.","interlocutory appeal in magazine appeal.

considering that the defendant's review appeal was granted in order to, having removed the obstacle of desertion, to determine the return of the case to the regional court for the assessment of the employer's ordinary appeal, as understood by law, the judgment of this interlocutory appeal is impaired.

interlocutory appeal."
22,"3rd class) gmalb / as / abn / mn these notices of embargoes of declaration were reviewed, reported and discussed in resource of magazine n ° tst-ed-rr-770600-19.2005.5.09.001, in which is embargo hsbc bank brasil sa - multiple bank and other and embargada lisa mara cristoff netipanyj .
62, i, da clt, and as to the fundamentals used.
I note that the party seeks, in fact, in an improper way, to re-discuss a decided matter, revealing its non-conformity, and, intending, to all evidence, the reform of the decision that was unfavorable to him, to impose his own view of the case, end which declaration embargoes are not suitable.
dissatisfaction with the outcome of the judgment will require other measures, according to the applicable procedural guidelines.
thus, there is no evidence of any defect in the embargoed decision.
opposed to the drift of the situations referred to in arts.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

interposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
23,"8th class) gmmea / rh seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-5141-96.2003.5.15.001, in which adriano ribeiro and aggravated telecommunications from são paulo s.a. - counterclaims presented by the defendant to pages 144/155.
remittance of the records to the public labor ministry is waived, according to art.
vote interlocutory appeal in an adhesive magazine resource.
500, iii, of the cpc, the adhesive resource is subordinate to the main resource.
thus, maintaining the denial of the follow-up of the defendant's (principal) magazine appeal by this eighth class, implies the necessary inadmissibility of the adhesive magazine appeal, and, therefore, impairs the examination of the interlocutory appeal filed by the claimant, under of art.","interlocutory appeal in an adhesive magazine resource. main resource not admitted.

impaired the examination of the interlocutory appeal of the claimant, in view of the lack of the interlocutory appeal of the defendant, filed in the main appeal, under the terms of art. 500, item iii, of the cpc."
24,"judgment 6th class acv / cris / s these visas, reports and motions for clarification of motions of appeal were reviewed, in appeal filed by magazine no.
the claimant opposes embargoes of declaration (pages 306/309) to the decision handed down on pages 301/304 of the file.
points out omission and obscurity as to the analysis of the violations of the provisions of articles 896 and 74 of the clt, as well as in relation to the payment of overtime and reflexes.
vote i - knowledge of regularly opposed declaration embargos.
this group analyzed the specific admissibility requirements foreseen in article 896 and clt items, maintaining r. order denying the appeal of the magazine, precisely because no literal violation of a constitutional or legal provision has been demonstrated, nor any divergence of jurisprudence suitable for confronting the thesis.
therefore, I reject the motion for clarification.","declaration embargoes. omission. hypothesis in which it is not characterized.

the inexistence in v. judged to be omission, contradiction or obscurity in the exact terms of article 535 of the code of civil procedure, leads to the rejection of embargoes of declaration."
25,"judgment 6th class acv / rbb / s seen, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-222540-70.2009.5.11.001, in which arosuco aromas e juices s. and other olive groves are aggravated.
2/5, claims that the appeal for review is fully applicable.
counter-draft presented on pages 187/189.
there was no manifestation by the public labor ministry.
regional labor court of the 11th region, through the certificate of judgment of fl.
166, dismissed the ordinary appeal filed by the defendant.
818 da clt and brings an edge to the thesis confrontation.
it should be noted that the indication of offense to a constitutional provision pointed out only on the grounds of the interlocutory appeal constitutes appeal innovation, a situation that is not permitted in this extraordinary phase.","interlocutory appeal. summary rite. unfounded appeal. deprivation.

in the cases subject to the summary procedure, only an appeal for review will be allowed due to the contrary, the summary of uniform jurisprudence of the superior labor court and / or direct violation of the provisions of the federal constitution, in accordance with the provisions of article 896, § 6, of the clt. interlocutory appeal."
26,"the c o rd (5th class class) bp / cr visas, reported and discussed these interlocutory appeals in an interlocutory appeal in magazine resource n ° tst-ag-airr-115740-09.2005.5.03.010, in which construtora centro Oeste ltda.
- the defendants oppose the appeal to pages 272/301.
they maintain that they have lodged the interlocutory appeal on a regular basis, with a full copy of the original action, and that the absence of just one page of the journal resource seems excessive formality, which does not conform to the modern civil process.
vote the appeal is timely and is signed by a qualified lawyer.
in casu, the copy of the magazine resource was not translated in full, an essential part for its appreciation, and art.
it is necessary to add, in due time, the content of item x of the normative instruction 16/99 of this court, which is up to the parties to provide the correct formation of the instrument, not including omission in due diligence to supply the absence of parts, even essential.
That said, the ministers of the fifth class of the higher labor court agree, unanimously, to dismiss the appeal.","grievance.

transfer disability.

the interlocutory appeal was denied due to lack of transfer due to the absence of a full copy of the journal resource. in the grievance, the aggravating factors did not prove the regularity of the transfer. therefore, the appeal is dismissed.

interlocutory appeal dismissed."
27,"the c o rd (3rd class) gmalb / deao / abn / mki visas, reported and discussed these records of embargoes of declaration in embargoes of declaration in interlocutory appeal in resource of magazine n ° tst-ed-ed-airr-50240-91.2006.5.02.026, in which it is embarrasing to tredegar brasil industry ltda.
and embargoed raimundo rodrigues de sousa.
there is sufficient reasoning in the main judgment and in the judgment given due to the first embargoes filed, leaving clearly explained the reasons why this group dismissed the nonconformity of the party.
the conclusion of the class was the application of oj 125 / sbdi-1 / tst, with no omissions.
if the embargo does not agree with the result achieved, it must manage the appropriate resource, and not postpone the solution of the feat, with manifestly delaying incidents.
opposed to the drift of the situations referred to in arts.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

interposed to the drift of the situations referred to in arts. 535 of the cpc and 897-a of the clt, rejected are the embargoes of declaration. known and deprived declaration embargoes."
28,"the c o rd (8th class) gmdmc / jm / dr / sm these visas of embargoes of declaration in an interlocutory appeal were reviewed, reported and discussed in appeal no.
314/316, on 6/18/2010, arguing the need for pre-questioning.
897-a of the clt and 535 of the cpc, are those that hinder the exercise of the right of the interested party to appeal the decision to the superior instance, which are omission, contradiction or obscurity.
in the present case, the authoring union opposes embargoes of declaration, arguing the need to pre-question art.
7, vi and xxix, of the federal constitution.
In view of these considerations, it is clear that the present embargoes of declaration do not conform to any of the legal hypotheses for their appropriateness.
that said, the ministers of the eighth class of the higher labor court agree, unanimously, to reject the embargoes of declaration.","embargoes of declaration on interlocutory appeal in review appeal. change in the job and salary plan. prescription. single act.

none of the defects listed in arts. 897-a of the clt and 535 of the cpc, the present embargoes cannot be accepted.

declaration embargoes rejected."
29,"judgment 6th class acv / tf / s This document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-18040-22.2009.5.09.065, in which accentum maintenance and services ltda.
and edno de souza santos and the national steel company are aggravated.
there was no pronouncement by the public prosecutor in the absence of public interest.
vote reasons for not knowing there is no way of knowing the interlocutory appeal.
897 of the clt, in its § 5 provides: § 5. under penalty of not knowing, the parties will promote the formation of the interlocutory appeal in order to enable, if provided, the immediate judgment of the denied appeal, item iii of normative instruction No.
in view of the above, I am not aware of the instrument appeal.","interlocutory appeal. absence of parts. disabled transfer. non-knowledge.

it is not known of the interlocutory appeal when the parts named in item i of § 5 of art. 897 of the clt, as well as those indispensable for the disentangling of the subject matter at issue. injury not known."
30,"8th class) gmmea / hagb / acnv seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-162041-63.2005.5.03.002, in which totvs s.a. the executed interposes an interlocutory appeal (pages 2/2 0 ) against the dispatch of pages 4, who denied following up on his review appeal.
remittance of the records to the public labor ministry is waived, according to art.
In view of the above, based on the aforementioned legal provision and on item x of the aforementioned normative instruction, I am not aware of the present interlocutory appeal.","interlocutory appeal in a magazine resource - transfer disability. incomplete copy of the regional judgment. article 897, § 5, of clt and item iii of normative instruction 16 of tst.

it is not known about the interlocutory appeal when it is not regularly transferred, which is essential to its judgment or to the examination of the review appeal. interlocutory appeal not known."
31,"the c o rd (3rd class) gmalb / avrr / abn / mki pe visas, reported and discussed these notices of embargoes of declaration in interlocutory appeal in resource of magazine n ° tst-ed-airr-1030-77.2010.5.08.000, in which is embargo commerce and transport bom esperi ltda.
and embargoed assets of raimundo borges pinheiro and others.
7, xxii and xxviii, of the federal constitution, 927 of the ccb, ​​157 of the clt and 2 of the law No.
thus, the judgment contains an explicit reasoning on such questions, therefore, there is no defect.
dissatisfaction with the outcome of the judgment will require other measures, according to the applicable procedural guidelines.
it should also be noted that the allegation of offense against arts.
opposed to the drift of the situations referred to in arts.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

opposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
32,"the c o rd (6th class class) gmacc / al / tas seen, reported and discussed these records of interlocutory appeal against appeal in appeal no.
° tst-a-airr-121340-79.2006.5.02.007, in which union is aggravating (pgu) and juciara pereira e dima constracoes e Serviços ltda.
02-14, filed an interlocutory appeal on pages 274-288.
2 - merit against the decision on pages 269-271, which denied following up on the interlocutory appeal.
the alleged violation of articles 1, iii and iv, 2, 5, xlv, 37, xxi, and § 6, 97 and 100 is excluded from analysis, all of the federal constitution, 477, § 8, of the clt, and 71, § 1 , of Law 8.666 / 1993, as it precludes the matter, under the terms of Precedent 297 of this court.
That said, the ministers of the sixth class of the higher labor court agree, unanimously, to dismiss the appeal.","grievance. interlocutory appeal. magazine feature. unity. subsidiary liability. fine of articles 467 and 477 of clt.

the uncertainty of the decision that denied following the interlocutory appeal was not demonstrated. grievance not provided."
